tz,tz_count
120,26507984
60,23736903
0,19228369
-420,14112691
-240,13797946
-300,13073314
480,8149191
-480,6797685
180,6165002
-360,4730486
540,3929006
-180,2923215
330,2502539
600,1609545
240,1342105
420,1319291
660,1049790
-120,780227
780,391710
360,386589
720,385479
300,315317
-600,133579
210,108820
270,99674
-270,98149
570,74963
630,63916
345,55073
-150,20598
-540,17671
-210,12499
390,11049
-60,7466
-330,2474
59,858
-720,848
119,781
-660,720
350,560
539,242
410,222
-780,115
840,96
-570,61
510,43
-119,38
960,33
479,25
31080,22
825,21
19080,18
525,15
765,11
239,11
419,11
629,6
3,4
-310,4
-840,3
671,3
55080,2
483,2
123,2
179,2
-25080,1
-50,1
779,1
1200,1
20,1
-1380,1
-83,1
